episode_id,policy_path_id,window_start,cycle_id,order_id,order_slot,post_time_s,fill_time_s,qty,impact_left,cost_jump,contribution,cumulative_cost
4,2,2025-05-29 10:34:00.013360-04:00,0,0,0,0.0,0.30247589554387827,1,0.0034072881767154687,0.0034072881767154687,0.0034072881767154687,0.0034072881767154687
4,2,2025-05-29 10:34:00.013360-04:00,0,1,1,0.01,0.3040327928123228,1,0.0034072881767154687,0.0034072881767154687,0.0034072881767154687,0.0068145763534309374
4,2,2025-05-29 10:34:00.013360-04:00,1,10,0,0.45098484770938163,0.7503010398828784,1,0.006622674619553298,0.006622674619553298,0.006622674619553298,0.013437250972984236
4,2,2025-05-29 10:34:00.013360-04:00,1,11,1,0.46098484770938164,0.7640664889930865,1,0.006622674619553298,0.006622674619553298,0.006622674619553298,0.020059925592537532
4,2,2025-05-29 10:34:00.013360-04:00,2,20,0,0.9018253999758367,1.0191223217220557,1,0.00481353,0.00481353,0.00481353,0.024873455592537532
4,3,2025-05-29 10:34:00.013360-04:00,0,0,0,0.0,0.1067861967538366,1,0.000682366322546389,0.000682366322546389,0.000682366322546389,0.000682366322546389
4,3,2025-05-29 10:34:00.013360-04:00,0,1,1,0.01,0.1148366229358061,1,0.000682366322546389,0.000682366322546389,0.000682366322546389,0.001364732645092778
4,3,2025-05-29 10:34:00.013360-04:00,0,2,2,0.02,0.11954331945347847,1,0.000682366322546389,0.000682366322546389,0.000682366322546389,0.002047098967639167
4,3,2025-05-29 10:34:00.013360-04:00,1,10,0,0.4508324268405787,0.7401059858883321,1,0.005937474619553298,0.005937474619553298,0.005937474619553298,0.007984573587192465
4,4,2025-05-29 10:34:00.013360-04:00,0,0,0,0.0,0.11821289737239066,1,0.000682366322546389,0.000682366322546389,0.000682366322546389,0.000682366322546389
4,4,2025-05-29 10:34:00.013360-04:00,1,10,0,0.4509465483653843,0.7536688287914854,1,0.006537024619553298,0.006537024619553298,0.006537024619553298,0.007219390942099687
4,4,2025-05-29 10:34:00.013360-04:00,1,11,1,0.4609465483653843,0.7760853924623269,1,0.006537024619553298,0.006537024619553298,0.006537024619553298,0.013756415561652986
4,4,2025-05-29 10:34:00.013360-04:00,1,12,2,0.4709465483653843,0.7807722920721951,1,0.006537024619553298,0.006537024619553298,0.006537024619553298,0.020293440181206282
4,4,2025-05-29 10:34:00.013360-04:00,2,20,0,0.9019224173309333,1.0065883665183593,1,0.00472788,0.00472788,0.00472788,0.025021320181206282
4,5,2025-05-29 10:34:00.013360-04:00,1,10,0,0.45094328723846716,0.6610568235764078,1,0.006597722230283976,0.006597722230283976,0.006597722230283976,0.006597722230283976
4,5,2025-05-29 10:34:00.013360-04:00,1,11,1,0.46094328723846717,0.662801030932088,1,0.006613060157597969,0.006613060157597969,0.006613060157597969,0.013210782387881946
4,5,2025-05-29 10:34:00.013360-04:00,1,12,2,0.4709432872384672,0.6694413177173296,1,0.006613060157597969,0.006613060157597969,0.006613060157597969,0.019823842545479916
4,5,2025-05-29 10:34:00.013360-04:00,2,20,0,0.9018631382614143,1.228083863959732,1,0.006981254007558717,0.006981254007558717,0.006981254007558717,0.026805096553038633
4,6,2025-05-29 10:34:00.013360-04:00,0,0,0,0.0,0.12086388039576412,1,0.000682366322546389,0.000682366322546389,0.000682366322546389,0.000682366322546389
4,6,2025-05-29 10:34:00.013360-04:00,0,1,1,0.01,0.14416607831724518,1,0.001722345317010088,0.001722345317010088,0.001722345317010088,0.002404711639556477
4,6,2025-05-29 10:34:00.013360-04:00,1,10,0,0.4509829012415444,0.6391595798742392,1,0.005327213881111437,0.005327213881111437,0.005327213881111437,0.007731925520667914
